company_id,name,founding_date,github_stars,commit_velocity,investor_count,founder_exit_count,social_traction,funding_amount,top_decile_exit
c001,TechInnovate,2018-01-15,2450,8.7,3,0,567,1500000,0
c002,DataPulse,2017-05-22,3200,12.5,5,1,890,3200000,0
c003,CloudNative,2016-11-08,8500,23.4,7,2,1560,8500000,1
c004,AIVentures,2019-03-30,1800,6.2,2,0,345,800000,0
c005,BlockTech,2015-09-12,4300,15.8,6,1,1230,5000000,0
c006,SecureNet,2017-11-05,3100,10.2,4,0,780,2800000,0
c007,MobileFirst,2016-04-18,5200,18.7,8,2,1680,7200000,1
c008,QuantumSoft,2018-08-27,1950,7.4,3,0,520,1200000,0
c009,VRImmersive,2019-01-14,2100,9.1,2,0,630,1800000,0
c010,BioTechX,2015-07-03,3800,14.5,7,3,1450,6500000,1
c011,SmartLogistics,2017-03-16,2800,11.3,4,1,850,3500000,0
c012,HealthAI,2016-12-09,4100,16.2,6,1,1380,5800000,0
c013,FinTechSolutions,2015-10-25,5600,19.8,9,2,1720,9200000,1
c014,EcoEnergy,2018-05-11,2200,8.9,3,0,590,1700000,0
c015,SpaceTech,2016-01-19,3900,15.1,5,1,1120,4800000,0
c016,CyberGuard,2017-08-07,3300,12.8,4,0,910,3300000,0
c017,EdTechPlatform,2019-02-23,1750,6.5,2,0,380,950000,0
c018,RetailTech,2016-06-30,4500,17.3,7,2,1520,6900000,1
c019,AgriTechSolutions,2018-11-14,2050,7.8,3,0,540,1450000,0
c020,IndustrialIoT,2015-05-08,4800,18.2,8,1,1650,7800000,1
c021,SportsAnalytics,2017-07-21,2600,10.1,3,0,720,2400000,0
c022,CloudSecurity,2016-03-13,4200,16.7,6,1,1290,5500000,0
c023,AIChips,2015-11-29,5900,21.5,10,3,1850,10500000,1
c024,MobilePay,2018-02-16,2350,9.3,4,0,610,2000000,0
c025,SmartCity,2016-09-05,4700,17.9,7,1,1480,6700000,1
c026,BioInformatics,2017-12-19,3000,11.6,5,1,840,3700000,0
c027,QuantumComputing,2015-08-11,5100,19.2,9,2,1780,9800000,1
c028,RoboticsInnovation,2019-04-08,1700,6.8,2,0,420,1100000,0
c029,BlockchainPayments,2016-05-24,4400,16.9,6,1,1340,6200000,1
c030,EcommerceAI,2018-07-13,2500,9.8,3,0,680,2200000,0
c031,CleanTechSolutions,2017-02-27,3500,13.4,5,1,950,4200000,0
c032,DigitalHealth,2016-10-16,4600,17.5,7,2,1580,7000000,1
c033,InsureTech,2018-12-10,2150,8.2,3,0,560,1600000,0
c034,AutomationSolutions,2015-06-19,4900,18.6,8,2,1690,8100000,1
c035,GameDevelopment,2017-10-01,2900,11.8,4,0,810,2900000,0
c036,StreamingTech,2016-02-26,4300,16.5,6,1,1320,5700000,0
c037,AIMarketing,2019-01-31,1850,7.1,2,0,470,1300000,0
c038,TravelTech,2016-08-14,3700,14.3,5,1,1050,4600000,0
c039,SmartRetail,2018-04-05,2400,9.5,3,0,650,2100000,0
c040,AdvancedMaterials,2015-12-07,5500,20.1,9,3,1810,9500000,1
c041,UrbanMobility,2017-06-12,3400,13.1,5,1,920,3800000,0
c042,DataAnalytics,2016-07-28,4800,18.3,8,2,1620,7500000,1
c043,AugmentedReality,2019-03-11,1900,7.6,2,0,500,1350000,0
c044,CyberSecurity,2016-04-02,5300,19.5,8,2,1750,8800000,1
c045,MedTech,2018-06-24,2550,10.0,3,0,700,2300000,0
c046,RenewableEnergy,2015-10-08,5000,18.9,8,2,1710,8300000,1
c047,SportsTech,2017-09-17,2750,10.6,4,0,760,2600000,0
c048,FoodTech,2016-11-22,3600,13.7,5,1,980,4100000,0
c049,MusicTech,2018-10-03,2300,9.0,3,0,600,1900000,0
c050,QuantumSecurity,2016-01-06,5400,19.9,9,2,1820,9900000,1
