date,transaction_id,description,amount,balance,category
2025-04-20,tx123456,Opening Balance,0,320000,BALANCE
2025-04-19,tx123457,Payment to Supplier,-12500,332500,EXPENSE
2025-04-18,tx123458,Payment to Supplier,-8700,341200,EXPENSE
2025-04-17,tx123459,Payment from Customer,3500,349900,REVENUE
2025-04-16,tx123460,Employee Payroll,-45000,346400,PAYROLL
2025-04-15,tx123461,Office Rent,-15000,391400,EXPENSE
2025-04-14,tx123462,Payment from Customer,5200,406400,REVENUE
2025-04-13,tx123463,Cloud Services,-3500,401200,EXPENSE
2025-04-12,tx123464,Marketing Platform,-2500,404700,MARKETING
2025-04-11,tx123465,Hardware Components,-17800,407200,INVENTORY
2025-04-10,tx123466,Payment from Customer,2800,425000,REVENUE
2025-04-09,tx123467,Employee Payroll,-45000,422200,PAYROLL
2025-04-08,tx123468,Insurance Premium,-3500,467200,EXPENSE
2025-04-07,tx123469,Travel Expenses,-2100,470700,TRAVEL
2025-04-06,tx123470,Payment from Customer,4500,472800,REVENUE
2025-04-05,tx123471,Software Licenses,-1250,468300,EXPENSE
2025-04-04,tx123472,Payment to Supplier,-9800,469550,EXPENSE
2025-04-03,tx123473,Hardware Components,-14300,479350,INVENTORY
2025-04-02,tx123474,Employee Payroll,-45000,493650,PAYROLL
2025-04-01,tx123475,Office Utilities,-3200,538650,EXPENSE
2025-03-31,tx123476,Payment from Customer,3800,541850,REVENUE
2025-03-30,tx123477,Cloud Services,-3500,538050,EXPENSE
2025-03-29,tx123478,Marketing Platform,-2500,541550,MARKETING
2025-03-28,tx123479,Hardware Components,-12500,544050,INVENTORY
2025-03-27,tx123480,Payment from Customer,2200,556550,REVENUE
